speaker,turn_index,text
C,51,"Because Iran, the Palestinian nationalists and their allies are waging a war of misinformation that has one purpose. They want to destroy Israel. And they think it will be much easier to destroy Israel if they convince the world that Israel deserves to be destroyed. A full campaign of the most ridiculous lies to try. Tried to convince good, ordinary Americans that when they're ready to pull the trigger and massacre us once more, they should stand to one side and say, well, the Jews had it Coming. And I'm not willing to allow that to happen."
A,44,Sorry.
B,51,"Okay, just a 20 second answer. Yeah, I mean, look, I believe that what is happening in Gaza, the killing of 16,000 children, the genocide in Gaza, is the great moral tragedy of our time, the great crime of our time. And I will go almost anywhere and take a stage with almost anyone to try and bring that war to an end and convince people that the war needs to end."
C,52,"Now, may I add something?"
A,45,"No, no. We have to move forward. All right. We're going to bring in some other voices now. We have some journalists. We have four journalists who are each going to ask one, I hope, very short question. There are people who have been writing about the area for a long time, particularly about the situation now, and they are certainly not monolithic in their own views. I first want to go to Peter Beinart. He's a journalist who's written for Time, the New York Times, the Atlantic. He's former editor of the New Republic and editor at large of Jewish Currents. Peter, if you can stand up, there's a microphone, I believe, in the aisle for you and ask your incredibly short question."
D,1,"Thank you. Elon, you suggested that the goal of the war was to depose Hamas from power. But on October 11, Benjamin Netanyahu said the goal of the war was to Destroy Hamas. On Oct. 12, Yoav Gallant said the Defense Minister said the goal was to wipe it from the earth. Because I think they understood that even deposing Hamas would not necessarily make Hamas less of a fearsome threat. The Taliban didn't become less of a fearsome threat to the United States once they stopped holding power. Saddam and his forces didn't become less of a fearsome threat once they no longer held power. They recognized that winning this war meant destroying Hamas. And yet, your own former colleague, Daniel Hazari."
A,46,What's your question?
D,2,"It's not possible. To be clear, I'd like you to be on the record. Do you think it's possible to destroy Hamas, or were Netanyahu and Gallant wrong?"
C,53,"I believe it is possible to remove the Hamas terror racial power. Whether leaders used belligerent rhetoric that exaggerated the goals of the war. No. Look, Hamas needs to be destroyed. It's an idea. Some ideas deserve to be destroyed. And whether that idea is destroyed or not depends on the lessons that the people of Gaza take from this war. Will they conclude that terrorism is a dead end? That their leaders have repeatedly led them into disaster after disaster as part of their forever war against the Jewish state in any borders whatsoever? Or will they Take the lesser. That in fact they were rewarded for the October 7th massacre. That is what is at stake here. And we are trying to convince the people of Gaza terrorism is a dead end. There is no light at the end of that tunnel."
A,47,You also get to respond. You can respond.
B,52,"I mean, I think Peter made the point very eloquently. It's a nonsensical war aims. The real war aims, of course, are what the Israeli ministers say. When Smotrich says the aim of the war is to annihilate Gaza, that is the aim."
C,54,I take him at face value.
B,53,"He literally miss that. And when they say this stuff, when they talk about resettling Gaza, when they talk about staying in Gaza, that is what they mean. Can I finish an answer?"
C,55,Government policy and those against government.
B,54,I would just say this.
A,48,"Yeah, let him say this."
B,55,"You want to convince the people of Gaza that terrorism is a dead end, then stop inflicting terrorism on them."
C,56,Every accusation is a confession. How many?
A,49,"Our next question comes from Gillian Lederman. Gillian is an editorial fellow at the Wall Street Journal, former chief executive, executive chair of the Israel Leadership Network. Gillian, thanks for joining us. And what's your question? Thank you. My question is, given the current circumstances."
C,57,Do you believe that Israel pulling out.
A,50,Of Gaza in 2005 was the right decision? Who's.
B,56,That a question?
C,58,It's a difficult question.
A,51,"Let me just ask you, Jillian, Are you pointing that to anybody in particular? Both can answer it, but okay."
C,59,"Israel withdrew from the Gaza Strip in 2005 and never wanted to go back. It gave them Gaza. They had the option to turn it into Singapore. They chose to turn it into Mosul. They could have had a thriving state in Gaza after Israel pulled out and Jewish organizations paid to donate the greenhouses. Instead, they chose to rig Gaza for war. The tunnel network under Gaza is the largest public war works project the Palestinians have ever undertaken. They did it for the sake of the October 7th."
A,52,Was it. Was it a mistake to pull out? That was the question.
C,60,I don't know.
A,53,"Okay, no, fair enough, fair enough."
B,57,"Simple answer is, of course Israel did not pull out of Gaza. As the ICJ has pointed out just recently, Gaza is occupied territory. Let me put it very simply to you. What. What Elon doesn't tell you is when they pulled out, they kept control of Gaza's land borders. Not with Egypt. With Egypt. Israel and Egypt, land borders kept. Have you noticed? Len should answer without an interruption. The land borders, the sea waters, the air. And wait. Wait for it. Wait for it. And the population registry, if you're Born in Gaza, you have to be registered with the Israelis. If you were born in New York and your birth had to be registered with a foreign country, would you say you were occupied or not occupied? Would you say you're a free people or an unfree people? It's an absolute lie. The occupied never ended."
C,61,Israel ended the occupation of Gaza in 2005.
B,58,Let me interrupt you.
A,54,"No, no, no. Hold it, hold it, hold it, hold it, hold it. We are done with the interruptions. It's just destructive. So you go."
C,62,"The population registry isn't an interesting question because Israel runs it in cooperation with the PA as part of the Oslo Accords. Hamas is free to run its own population registry because it has effective control inside Gaza. Under international law, occupation requires the effective control of territory everywhere in the world. It is understood to mean boots on the ground. And the only reason to fabricate a new standard, to say that just because Israel doesn't allow Hamas to build an Ismail Haniya International Airport means that it is occupied, is as part of a campaign to try to make Israel responsible for civilians in Gaza so Hamas can take the resources."
A,55,"Okay, funnel them into the machine. We're losing sight of this question."
B,59,"Just briefly, very briefly, Elon, a moment. A moment ago. A moment ago, you all heard him proudly quoting the former president of the icj. The icj, literally, the other day, said, Gaza is occupied. But Elon and I went to the same university. We did the same degree. He didn't do law. He's not a lawyer. The ICJ says Gaza is occupied. It's over. The debate's over. You've lost that one."
C,63,"No, that's not the end. That is not the end. Because a basic principle of the ICJ disagrees."
A,56,"Jillian, do you feel that your question was answered? Was it a mistake to pull out of Gaza? Because I don't. But we're going to move on. Thank you for the question. It would be helpful. And I realize you're both very passionate and have a lot to say about this, but it would be helpful, at least at the beginning of your answers, to stick to the questions."
B,60,"I did. I said they didn't pull out because they never pulled out. I mean, accept the premise of."
A,57,"All right, fair enough. You, question. Next up, next up. Next up."
C,64,It ripped people out of.
A,58,"I know, I know, I know, I know. I was there. I was there. I witnessed it."
C,65,He witnessed it. Mehdi. It happened.
A,59,"The party you're talking about. Next up, we have Dean Obedalla, a lawyer, a comedian, and the journalist who is host of The Dean Abodela show and a frequent commentator on C. Cnn, MSNBC and the Daily Beast. Dean, thanks for joining us."
B,61,Thank you.
C,66,I have a question for everyone.
B,62,"You've defended everything the Israeli military has done, everything. And Mehdi's gone through it. My family lives in the West Bank. My question is, is there anything that you would condemn Israel for in terms of killing Palestinian Christians and Muslims?"
C,67,Or are they all inhuman in your.
B,63,"View and not worthy of. Of any sympathy, dignity or self determination as a people?"
A,60,"All right, all right, hang on a second. Hang on. I have an issue with the question. The first part of the question. Is there anything you would condemn from Israel? Legitimate question. But the assumption that if he feels differently, that he has no sense of the humanity of Palestinians is a bit of some baggage loaded into the question. So why don't you take the question, is there anything that Israel is doing that you would condemn?"
C,68,I have gone on TV as a government spokesman when the army said that there was a particular mistake and a certain target should not have been hit. We fess up and admit our mistakes because that is what a responsible military should do.
A,61,You can actually.
C,69,"Okay, but Israel is fighting an enemy whose use of war crimes is strategic and systematic. They're not investigated. On Hamas end, no one is ever called to account its use of war crimes against its own civilians while they hide behind them in their schools and hospitals to fire at us is strategic and systematic. And so I stand by my country as it fights to use proportionate force to dismantle the Hamas army of terror. Because yes, my neighbors are human. Okay, because sounds like better future."
A,62,"I have a very important technical program note. I've received a message that the audience clapping volume is so loud that in the recording, very frequently it's been impossible to hear what our debaters are saying."
B,64,Don't clap.
A,63,"And so what I would like you to do is to clap in between their points. Let them finish and then go for it, please."
C,70,The gentleman challenged my humanity and I would like to defend it.
A,64,I tried to let this.
C,71,I want a future of peace between us and our neighbors. That cannot happen as long as the Hamas terror regime is okay.
B,65,"On the subject of. I'll wait for the applause. On the subject of Elon's humanity, I asked him earlier if he supported the release of Palestinian children. He refused to say so he can. Tonight we'll all wear this pin. Mr. Hassan and his children, let me say it's on the West Bank. He cannot help but cherry pick the evidence. He cannot pick help but cherry pick the evidence he just said a moment ago he tried to gaslight you. He said Hamas is never held to account. Actually, the chief prosecutor of the International Criminal Court gave out five arrest warrant requests. Three for Hamas, two for Israel. I support all of those arrest warrant requests. Do you?"
C,72,"Do you, Mr. Haskell?"
B,66,Do you? It's a yes or no question.
C,73,Every single lie. Yes or no question. Every single lie.
B,67,You support accountability for all of them? Absolutely.
C,74,But you and what arrest warrants for net.
A,65,"Wait, wait, wait. Now we can't hear what you're both saying."
B,68,Support arrest warrants for Netanyahu?
C,75,"No, Mr. Hassan, because every single line. Every single line in the request."
A,66,"Wait a minute, wait a minute."
C,76,By the prosecution is based on lies. Like the allegation of starvation. Impossible to reconcile with over 1 million tons of aid that have entered Gaza since the start of this war.
B,69,"2,069 trucks right now."
C,77,"Did you know that, Mr. Hassan?"
B,70,69 trucks according to 15. According to 15 aid agencies.
C,78,Who are.
B,71,Who should we believe? 15 or you and net.
C,79,"Mr. Hassan. Who are they believe, Mr. Hassan? 15 agencies or you? These aid agencies are quoting. UNRA's statistics are accurate. Yes or no?"
B,72,"Actually, no."
A,67,"Excuse me. Wait a minute. Wait a minute. Wait a minute. Wait a minute, wait a minute, Wait a minute, Wait a minute. Wait a minute. Wait a minute, wait a minute."
B,73,It's a lie.
A,68,"Is this helpful? Yes, for some."
B,74,"Okay, well, lies need to be stopped."
A,69,I just. I would just like to ask you to take turns.
B,75,Okay.
A,70,And not talk at the same time. You're doing worse at waiting. Get better.
C,80,"Over 1 million tons of aid now, according to Mr. Hassan, I don't know what double digit number he quoted comes from UNRWA. UNRWA's own dashboard on its website says that this is an incomplete register of data that it cannot monitor. All the cargo going in. Israel is monitoring it. UNRWA is undercounting it by a factor of 10. That's how you get to the bizarre statements like imminent famine in Gaza, because the IPC review committee said that that assessment was based on not counting all of the trucks that have gone in. They literally undercounted trucks in order to make this horrific allegation of starvation."
B,76,So the entire.
A,71,"Elon, your point."
B,77,"Your point was made so you just began the whole answer premised on a line. It's not based on onerous statistics. It's based on their own experience at Israeli crossings. David Miliband. Alon. David Miliband, a man. You know, we're both British. In front of this audience David Miliband was the former foreign minister of the uk Very pro Israeli politician, served under Blair and Brown, not some Palestinian lover. David Miliband said on cnn, our trucks are being stopped because they're finding a tiny little surgical scissor or a nail clipper and they're sending the trucks back. David Miliband is not so a hater of Israel. Cindy McCain is the head of the World Food Program. She is the widow of the most pro Israeli senator of my lifetime, John McCain. She has accused Israel of blocking aid trucks, killing aid workers, starving children. Cindy McCain is not UNRWA or Hamas."
A,72,"Gene, Gene, we are a long, long way from the question you asked. I don't know. That's bad moderating. I'm sorry that I. We have another question from John Levine. John is a political reporter for the Sunday New York Post. He has credits on CNN.com, the Atlantic, the Chronicle of Higher Education. John, thank you for joining us and come on in with your question. If you could stand up."
E,1,"Thank you both for being here. My question is for Mehdi. I actually, I think it's an easy question, so I hope we can get a direct answer. I'd like to ask you about your new media startup, Zateo. In May, Rolling Stone reported that."
A,73,"John, this has got to be on the point. Where it is debate relates to Qatar."
E,2,Which I believe was brought up in the debate.
A,74,"We're debating whether Israel's actions were justified. That's not on point. I'm sorry, I got to pass on it."
B,78,"I'm happy to. I'm happy to take the question, John. I'm happy to take the question. I'm happy to."
A,75,"We're not, we're not here to. We're not here to talk about your career. I know you are, and I'm not. So I'm sorry. John, if you want to come up with a question that's on point about Israel's actions in Gaza, go for it, please. Yeah, I can, because this is a debate where you ask questions."
B,79,"I mean, I. Now I really want to ask the question. I'm just curious. I just want to answer the question."
A,76,You can talk afterwards. All right.
B,80,"I mean, the dude works for the New York Post. I prefer not to talk to him, but not my debate."
A,77,"Thank you. Thank you. All right, we are coming down to the end for our closing statements. And that's where each debater has the floor again exclusively to make their case. One more time for you, Elon, you're up first in this. One more time to remind people I think they know that you're arguing that Israel's war in Gaza. I'm sorry, Israel's actions in Gaza are justified. You can take the floor. And you have two minutes to tell us why. Two and a half minutes. Tell us why."
C,81,"After the sadistic massacre of October 7, Hamas immediately told us, if you leave us on our feet, we will do this again and again. It wasn't enough to cremate little children. It wasn't enough to commit acts of gang rape, rape, pedophilia, necrophilia. It wasn't enough to gag people, bind them, tie them to trees, and strip them. They told us, we're coming for you if you leave us on our feet. We will do this again and again. This war has been horrible. We have paid a horrific price for it. We are trying to prevent the threat of a repeat October 7th massacre. And we are fighting a sadistic enemy that wreaked the battlefield in a way. That said, we've hidden our military assets under civilians. The only way that you can get to us is by going through civilians. And that's why Israel has taken more actions than any military in the history of the world. And so every commander from Afghanistan and Iraq will agree in order to keep the civilians safe from their own leaders. Sick strategy of trying to sacrifice them. That is why it keeps telling them to evacuate. It never designated a safe zone where Hamas terrorists could abuse hostages with impunity. It told them to go where it is safer, where it is safer and where Hamas is not. And on every occasion, on every occasion, it has been stymied by UN agencies saying, no, Keep them in Hamas strongholds. By Hamas trying to fight to keep them in the strongholds while we try to keep them safe from their own psychopath leaders. I asked Mr. Hassan, removing Hamas from power, legitimate, yes or no. And he wriggled out of it. He said, well, defending Israel is legitimate, but not the point. You go into Gaza, okay? His response? End the occupation. Let Hamas have an Ismail Haniyeh international airport. Let it have a Mohammed Dev naval base. There is nothing you can do with a terror regime that is sworn to your destruction, whose goals are legitimately genocidal. We need this war to. To end, but we need this war to end in a way that ensures that Hamas cannot restart it at a time of its choosing. Feeling emboldened and empowered because of international pressure generated by people like Mehdi Hassan to keep saving it from the wars that it starts."
A,78,"And I guess you could say it. And Mary Hassan, you have the final word in this debate, one more time, your argument for why Israel's actions in the Gaza war were not justified."
B,81,"Ladies and gentlemen, were the actions of Israel in Gaza justified? Look, the argument is pretty simple tonight and pretty hypocritical. From Elon. What we've heard tonight is that October, that nothing justifies October 7th, but October 7th justifies everything. Well, I'm here tonight to tell you, no, October 7th does not justify everything. It does not justify the suffering in Gaza. It does not justify the killing of kids in Gaza. It does not justify the starvation in Gaza. It does not justify the rape and torture of Palestinian detainees, which Elon refused to condemn tonight. It does not justify any of that. It doesn't justify the tearing up of the Geneva Conventions, the defiance of international law and the ICC, and our own Lehi law. Yes, October 7th was a war crime, but the response to a war crime is not to commit your own series of war crimes on an epic scale. 33 times as many people killed since October 7th as were killed on October 7th. And I'll say this to you, look very, very clearly. If you support this motion tonight, you are opening the gates of hell, not just in Gaza, but globally. Because every dictator and tyrant around the world will say, Israel's actions were justified. Then so are mine. Putin, Assad, Kim, they'll all say, Israel killed kids. Israel killed aid workers. Israel killed journalists. So can we. And I will be. I will be very clear. I will be very clear with you tonight. If you are here tonight, ladies and gents, if you're here tonight to defend what Israel's done, knowing full well what Israel has done, if you're defending the human suffering in Gaza, the amputation of little kids, if you're doing that in full knowledge, then you're not just here to defend the indefensible or justify the unjustifiable. I'm sorry. You're a sociopath. And I will say to you, don't, Please, please, please don't be a sociopath tonight. Don't support war crimes. Don't defend a genocide. Join me and every human rights organization in the world, every humanitarian aid agency on the planet, every American doctor and nurse who's been out to volunteer in Gaza. Join us in opposing this ridiculous and offensive and horrendous motion. And on behalf of the Aldos family, who Elon clearly doesn't give a damn about, I beg to oppose this motion."
A,79,"I am. I am. I am curious. Did anybody have their minds. Did anybody have. Did anybody have their minds changed tonight by anything they heard? Wow. All right, thanks. Thanks. John Levine. Yeah. Yeah, so here's the thing. The reason I turned on John's question, we really try to preserve the integrity of what a debate is supposed to be. And it's supposed to be about the question and it's supposed to stay on the question. It's supposed to avoid personal attacks. But you came all this way and Mehdi would actually, it seems like, to answer the question. So go for it. This is an extra."
E,3,"You were accused of being in the pay of. Elon accused you of being in the pay of Qatar. Earlier you took objection to that. I'd like you to be able to dispel that you're taking any money from Qatar by confirming that you're not taking money for Zateo, for Qatar. Is Qatar funding Zatteo, yes or no?"
B,82,"It's a great question, John, because you work as a media correspondent for the New York Post. No, I'm not. I'm answering your question. Patience. We waited for you. You're a media columnist for the New York Post, were you not?"
A,80,I.
E,4,Political reporter for the New York Times.
B,83,"You were at one time a media columnist. You should read the Washington Post interview that I did literally when Zatay was founded. And Jeremy Barr, an excellent reporter, slightly better one than you. He asked me. He asked me that question, and I said no, we haven't taken any money from foreign governments or foreign citizens. Every investor in Zateo is an American citizen, has nothing to do with Qatar. So nice try. Better luck next time. By the way. By the way, by the way, since we're all in the spirit of asking questions, how do you feel about taking money from the racist Rupert Murdoch every day? All right."
A,81,"All right, all right, all right, all right. I regret taking that question. I regret the Times this debate failed to be high minded by two people whom I otherwise respect. And I want to say that concludes our debate. I want to thank our debaters, Ilan Levy and Mehdi Hasan. We appreciate that you did show up and that you at least talked, maybe not to one another, but at one another, vigorously and vociferously. And in fact, you were listening to one another, if only to counter, but you were listening to one another. And I think that's progress. And I want to thank all of you in the audience for being here and being open to debate. And I want to thank all of the journalists who joined us as well for moving the conversation in a more interesting direction. So that is a wrap on this debate. We're open to debate. I'm John Donvan we'll see you next time."
